branch,percentile_rank,metric_value
control,0.05,255
control,0.1,412
control,0.2,605
control,0.3,807
control,0.4,1075
control,0.5,1433
control,0.6,1736
control,0.7,2316
control,0.8,3089
control,0.9,4992
control,0.95,8069
treatment-a,0.05,232
treatment-a,0.1,340
treatment-a,0.2,500
treatment-a,0.3,733
treatment-a,0.4,977
treatment-a,0.5,1302
treatment-a,0.6,1577
treatment-a,0.7,2104
treatment-a,0.8,3089
treatment-a,0.9,4535
treatment-a,0.95,7330
treatment-b,0.05,211
treatment-b,0.1,281
treatment-b,0.2,500
treatment-b,0.3,666
treatment-b,0.4,888
treatment-b,0.5,1075
treatment-b,0.6,1433
treatment-b,0.7,1911
treatment-b,0.8,2806
treatment-b,0.9,4120
treatment-b,0.95,6659
