percentile_rank,metric_value,branch
0.0,6.0,control
0.01,76.0,control
0.02,122.0,control
0.03,154.0,control
0.04,177.0,control
0.05,203.0,control
0.06,227.0,control
0.07,251.0,control
0.08,273.0,control
0.09,294.0,control
0.1,312.0,control
0.11,330.0,control
0.12,348.0,control
0.13,366.0,control
0.14,385.0,control
0.15,403.0,control
0.16,420.0,control
0.17,437.0,control
0.18,455.0,control
0.19,471.0,control
0.2,488.0,control
0.21,504.0,control
0.22,520.0,control
0.23,536.0,control
0.24,552.0,control
0.25,569.0,control
0.26,585.0,control
0.27,602.0,control
0.28,618.0,control
0.29,636.0,control
0.3,653.0,control
0.31,670.0,control
0.32,687.0,control
0.33,705.0,control
0.34,723.0,control
0.35,742.0,control
0.36,761.0,control
0.37,779.0,control
0.38,799.0,control
0.39,819.0,control
0.4,841.0,control
0.41,862.0,control
0.42,884.0,control
0.43,906.0,control
0.44,929.0,control
0.45,952.0,control
0.46,977.0,control
0.47,1001.0,control
0.48,1026.0,control
0.49,1051.0,control
0.5,1078.0,control
0.51,1105.0,control
0.52,1132.0,control
0.53,1161.0,control
0.54,1190.0,control
0.55,1220.0,control
0.56,1250.0,control
0.57,1281.0,control
0.58,1313.0,control
0.59,1348.0,control
0.6,1383.0,control
0.61,1420.0,control
0.62,1456.0,control
0.63,1495.0,control
0.64,1537.0,control
0.65,1576.0,control
0.66,1619.0,control
0.67,1664.0,control
0.68,1710.0,control
0.69,1758.0,control
0.7,1806.0,control
0.71,1859.0,control
0.72,1918.0,control
0.73,1976.0,control
0.74,2038.0,control
0.75,2101.0,control
0.76,2168.0,control
0.77,2237.0,control
0.78,2312.0,control
0.79,2390.0,control
0.8,2477.0,control
0.81,2563.0,control
0.82,2652.0,control
0.83,2740.0,control
0.84,2841.0,control
0.85,2949.0,control
0.86,3074.0,control
0.87,3212.0,control
0.88,3368.0,control
0.89,3547.0,control
0.9,3740.0,control
0.91,3963.0,control
0.92,4231.0,control
0.93,4548.0,control
0.94,4951.0,control
0.95,5529.0,control
0.96,6296.0,control
0.97,7420.0,control
0.98,9333.0,control
0.99,13847.0,control
1.0,3671909.0,control
0.0,14.0,treatment-a
0.01,89.0,treatment-a
0.02,131.0,treatment-a
0.03,161.0,treatment-a
0.04,192.0,treatment-a
0.05,218.0,treatment-a
0.06,244.0,treatment-a
0.07,268.0,treatment-a
0.08,291.0,treatment-a
0.09,312.0,treatment-a
0.1,333.0,treatment-a
0.11,351.0,treatment-a
0.12,369.0,treatment-a
0.13,388.0,treatment-a
0.14,406.0,treatment-a
0.15,424.0,treatment-a
0.16,443.0,treatment-a
0.17,460.0,treatment-a
0.18,479.0,treatment-a
0.19,496.0,treatment-a
0.2,514.0,treatment-a
0.21,530.0,treatment-a
0.22,548.0,treatment-a
0.23,565.0,treatment-a
0.24,581.0,treatment-a
0.25,598.0,treatment-a
0.26,615.0,treatment-a
0.27,632.0,treatment-a
0.28,648.0,treatment-a
0.29,664.0,treatment-a
0.3,682.0,treatment-a
0.31,699.0,treatment-a
0.32,718.0,treatment-a
0.33,736.0,treatment-a
0.34,754.0,treatment-a
0.35,773.0,treatment-a
0.36,792.0,treatment-a
0.37,812.0,treatment-a
0.38,831.0,treatment-a
0.39,852.0,treatment-a
0.4,873.0,treatment-a
0.41,895.0,treatment-a
0.42,917.0,treatment-a
0.43,941.0,treatment-a
0.44,965.0,treatment-a
0.45,988.0,treatment-a
0.46,1013.0,treatment-a
0.47,1037.0,treatment-a
0.48,1063.0,treatment-a
0.49,1088.0,treatment-a
0.5,1116.0,treatment-a
0.51,1144.0,treatment-a
0.52,1171.0,treatment-a
0.53,1200.0,treatment-a
0.54,1229.0,treatment-a
0.55,1258.0,treatment-a
0.56,1288.0,treatment-a
0.57,1318.0,treatment-a
0.58,1350.0,treatment-a
0.59,1382.0,treatment-a
0.6,1415.0,treatment-a
0.61,1449.0,treatment-a
0.62,1486.0,treatment-a
0.63,1524.0,treatment-a
0.64,1562.0,treatment-a
0.65,1604.0,treatment-a
0.66,1645.0,treatment-a
0.67,1688.0,treatment-a
0.68,1734.0,treatment-a
0.69,1781.0,treatment-a
0.7,1830.0,treatment-a
0.71,1884.0,treatment-a
0.72,1936.0,treatment-a
0.73,1993.0,treatment-a
0.74,2051.0,treatment-a
0.75,2113.0,treatment-a
0.76,2179.0,treatment-a
0.77,2250.0,treatment-a
0.78,2323.0,treatment-a
0.79,2403.0,treatment-a
0.8,2491.0,treatment-a
0.81,2578.0,treatment-a
0.82,2676.0,treatment-a
0.83,2781.0,treatment-a
0.84,2895.0,treatment-a
0.85,3011.0,treatment-a
0.86,3149.0,treatment-a
0.87,3301.0,treatment-a
0.88,3458.0,treatment-a
0.89,3635.0,treatment-a
0.9,3841.0,treatment-a
0.91,4089.0,treatment-a
0.92,4388.0,treatment-a
0.93,4737.0,treatment-a
0.94,5212.0,treatment-a
0.95,5821.0,treatment-a
0.96,6584.0,treatment-a
0.97,7825.0,treatment-a
0.98,9989.0,treatment-a
0.99,14918.0,treatment-a
1.0,2720134.0,treatment-a
0.0,13.0,treatment-b
0.01,49.0,treatment-b
0.02,54.0,treatment-b
0.03,70.0,treatment-b
0.04,98.0,treatment-b
0.05,127.0,treatment-b
0.06,149.0,treatment-b
0.07,174.0,treatment-b
0.08,198.0,treatment-b
0.09,221.0,treatment-b
0.1,242.0,treatment-b
0.11,261.0,treatment-b
0.12,280.0,treatment-b
0.13,299.0,treatment-b
0.14,316.0,treatment-b
0.15,333.0,treatment-b
0.16,351.0,treatment-b
0.17,369.0,treatment-b
0.18,388.0,treatment-b
0.19,407.0,treatment-b
0.2,425.0,treatment-b
0.21,443.0,treatment-b
0.22,461.0,treatment-b
0.23,478.0,treatment-b
0.24,496.0,treatment-b
0.25,513.0,treatment-b
0.26,530.0,treatment-b
0.27,548.0,treatment-b
0.28,566.0,treatment-b
0.29,583.0,treatment-b
0.3,600.0,treatment-b
0.31,617.0,treatment-b
