percentile_rank,metric_value,branch
0.0,3.0,control
0.01,70.0,control
0.02,101.0,control
0.03,128.0,control
0.04,150.0,control
0.05,171.0,control
0.06,191.0,control
0.07,212.0,control
0.08,230.0,control
0.09,248.0,control
0.1,265.0,control
0.11,282.0,control
0.12,300.0,control
0.13,318.0,control
0.14,336.0,control
0.15,353.0,control
0.16,370.0,control
0.17,388.0,control
0.18,405.0,control
0.19,423.0,control
0.2,440.0,control
0.21,457.0,control
0.22,473.0,control
0.23,490.0,control
0.24,506.0,control
0.25,522.0,control
0.26,538.0,control
0.27,555.0,control
0.28,571.0,control
0.29,587.0,control
0.3,604.0,control
0.31,621.0,control
0.32,637.0,control
0.33,655.0,control
0.34,672.0,control
0.35,691.0,control
0.36,708.0,control
0.37,727.0,control
0.38,746.0,control
0.39,766.0,control
0.4,786.0,control
0.41,807.0,control
0.42,827.0,control
0.43,850.0,control
0.44,872.0,control
0.45,895.0,control
0.46,919.0,control
0.47,943.0,control
0.48,967.0,control
0.49,993.0,control
0.5,1019.0,control
0.51,1046.0,control
0.52,1073.0,control
0.53,1102.0,control
0.54,1131.0,control
0.55,1161.0,control
0.56,1191.0,control
0.57,1223.0,control
0.58,1256.0,control
0.59,1290.0,control
0.6,1323.0,control
0.61,1360.0,control
0.62,1396.0,control
0.63,1434.0,control
0.64,1473.0,control
0.65,1515.0,control
0.66,1557.0,control
0.67,1602.0,control
0.68,1648.0,control
0.69,1696.0,control
0.7,1746.0,control
0.71,1798.0,control
0.72,1855.0,control
0.73,1911.0,control
0.74,1972.0,control
0.75,2037.0,control
0.76,2106.0,control
0.77,2177.0,control
0.78,2256.0,control
0.79,2334.0,control
0.8,2426.0,control
0.81,2517.0,control
0.82,2619.0,control
0.83,2729.0,control
0.84,2843.0,control
0.85,2977.0,control
0.86,3114.0,control
0.87,3269.0,control
0.88,3433.0,control
0.89,3627.0,control
0.9,3834.0,control
0.91,4080.0,control
0.92,4380.0,control
0.93,4733.0,control
0.94,5203.0,control
0.95,5827.0,control
0.96,6692.0,control
0.97,7871.0,control
0.98,10117.0,control
