branch,percentile_rank,metric_value
treatment-a,0.01,89
treatment-a,0.02,131
treatment-a,0.03,158
treatment-a,0.04,192
treatment-a,0.05,232
treatment-a,0.06,281
treatment-a,0.07,281
treatment-a,0.08,309
treatment-a,0.09,309
treatment-a,0.1,340
treatment-a,0.11,340
treatment-a,0.12,340
treatment-a,0.13,374
treatment-a,0.14,374
treatment-a,0.15,412
treatment-a,0.16,412
treatment-a,0.17,454
treatment-a,0.18,454
treatment-a,0.19,500
treatment-a,0.2,500
treatment-a,0.21,500
treatment-a,0.22,550
treatment-a,0.23,550
treatment-a,0.24,605
treatment-a,0.25,605
treatment-a,0.26,605
treatment-a,0.27,666
treatment-a,0.28,666
treatment-a,0.29,666
treatment-a,0.3,733
treatment-a,0.31,733
treatment-a,0.32,733
treatment-a,0.33,807
treatment-a,0.34,807
treatment-a,0.35,807
treatment-a,0.36,807
treatment-a,0.37,888
treatment-a,0.38,888
treatment-a,0.39,977
treatment-a,0.4,977
treatment-a,0.41,977
treatment-a,0.42,1075
treatment-a,0.43,1075
treatment-a,0.44,1075
treatment-a,0.45,1183
treatment-a,0.46,1183
treatment-a,0.47,1183
treatment-a,0.48,1302
treatment-a,0.49,1302
treatment-a,0.5,1302
treatment-a,0.51,1302
treatment-a,0.52,1302
treatment-a,0.53,1433
treatment-a,0.54,1433
treatment-a,0.55,1433
treatment-a,0.56,1433
treatment-a,0.57,1577
treatment-a,0.58,1577
treatment-a,0.59,1577
treatment-a,0.6,1577
treatment-a,0.61,1736
treatment-a,0.62,1736
treatment-a,0.63,1736
treatment-a,0.64,1736
treatment-a,0.65,1911
treatment-a,0.66,1911
treatment-a,0.67,1911
treatment-a,0.68,2104
treatment-a,0.69,2104
treatment-a,0.7,2104
treatment-a,0.71,2316
treatment-a,0.72,2316
treatment-a,0.73,2316
treatment-a,0.74,2549
treatment-a,0.75,2549
treatment-a,0.76,2549
treatment-a,0.77,2806
treatment-a,0.78,2806
treatment-a,0.79,2806
treatment-a,0.8,3089
treatment-a,0.81,3089
treatment-a,0.82,3400
treatment-a,0.83,3400
treatment-a,0.84,3743
treatment-a,0.85,3743
treatment-a,0.86,3743
