percentile_rank,metric_value,branch
0.0,3.0,control
0.01,80.0,control
0.02,114.0,control
0.03,139.0,control
0.04,161.0,control
0.05,182.0,control
0.06,203.0,control
0.07,223.0,control
0.08,242.0,control
0.09,262.0,control
0.1,280.0,control
0.11,299.0,control
0.12,317.0,control
0.13,336.0,control
0.14,353.0,control
0.15,371.0,control
0.16,388.0,control
0.17,405.0,control
0.18,422.0,control
0.19,439.0,control
0.2,456.0,control
0.21,472.0,control
0.22,489.0,control
0.23,505.0,control
0.24,521.0,control
0.25,537.0,control
0.26,553.0,control
0.27,569.0,control
0.28,585.0,control
0.29,601.0,control
0.3,617.0,control
0.31,633.0,control
0.32,650.0,control
0.33,666.0,control
0.34,683.0,control
0.35,700.0,control
0.36,719.0,control
0.37,736.0,control
0.38,756.0,control
0.39,774.0,control
0.4,794.0,control
0.41,814.0,control
0.42,835.0,control
0.43,856.0,control
0.44,878.0,control
0.45,900.0,control
0.46,924.0,control
0.47,947.0,control
0.48,972.0,control
0.49,996.0,control
0.5,1023.0,control
0.51,1048.0,control
0.52,1076.0,control
0.53,1103.0,control
0.54,1133.0,control
0.55,1162.0,control
0.56,1193.0,control
0.57,1224.0,control
0.58,1257.0,control
0.59,1290.0,control
0.6,1325.0,control
0.61,1360.0,control
0.62,1395.0,control
0.63,1434.0,control
0.64,1472.0,control
0.65,1513.0,control
0.66,1554.0,control
0.67,1599.0,control
0.68,1643.0,control
0.69,1692.0,control
0.7,1741.0,control
0.71,1793.0,control
0.72,1848.0,control
0.73,1904.0,control
0.74,1965.0,control
0.75,2028.0,control
0.76,2097.0,control
0.77,2167.0,control
0.78,2244.0,control
0.79,2324.0,control
0.8,2410.0,control
0.81,2501.0,control
0.82,2598.0,control
0.83,2701.0,control
0.84,2815.0,control
0.85,2933.0,control
0.86,3071.0,control
0.87,3215.0,control
0.88,3383.0,control
0.89,3562.0,control
0.9,3778.0,control
0.91,4018.0,control
0.92,4309.0,control
0.93,4642.0,control
0.94,5090.0,control
0.95,5712.0,control
0.96,6537.0,control
0.97,7738.0,control
0.98,9815.0,control
0.99,14947.0,control
0.0,3.0,treatment-a
0.01,72.0,treatment-a
0.02,105.0,treatment-a
0.03,135.0,treatment-a
0.04,158.0,treatment-a
0.05,180.0,treatment-a
0.06,193.0,treatment-a
0.07,210.0,treatment-a
0.08,225.0,treatment-a
0.09,236.0,treatment-a
0.1,252.0,treatment-a
0.11,267.0,treatment-a
0.12,282.0,treatment-a
0.13,299.0,treatment-a
0.14,317.0,treatment-a
0.15,335.0,treatment-a
0.16,353.0,treatment-a
0.17,370.0,treatment-a
0.18,388.0,treatment-a
0.19,406.0,treatment-a
0.2,423.0,treatment-a
0.21,441.0,treatment-a
0.22,457.0,treatment-a
0.23,474.0,treatment-a
0.24,490.0,treatment-a
0.25,507.0,treatment-a
