branch,percentile_rank,metric_value
control,0.01,81
control,0.02,119
control,0.03,144
control,0.04,174
control,0.05,192
control,0.06,211
control,0.07,232
control,0.08,255
control,0.09,281
control,0.1,309
control,0.11,309
control,0.12,340
control,0.13,374
control,0.14,374
control,0.15,412
control,0.16,412
control,0.17,412
control,0.18,454
control,0.19,454
control,0.2,500
control,0.21,500
control,0.22,500
control,0.23,550
control,0.24,550
control,0.25,550
control,0.26,605
control,0.27,605
control,0.28,605
control,0.29,605
control,0.3,666
control,0.31,666
control,0.32,666
control,0.33,733
control,0.34,733
control,0.35,733
control,0.36,733
control,0.37,807
control,0.38,807
control,0.39,807
control,0.4,807
control,0.41,888
control,0.42,888
control,0.43,888
control,0.44,888
control,0.45,977
control,0.46,977
control,0.47,977
control,0.48,1075
control,0.49,1075
control,0.5,1075
control,0.51,1075
control,0.52,1183
control,0.53,1183
control,0.54,1183
control,0.55,1183
control,0.56,1302
control,0.57,1302
control,0.58,1302
control,0.59,1433
control,0.6,1433
control,0.61,1433
control,0.62,1433
control,0.63,1577
control,0.64,1577
control,0.65,1577
control,0.66,1736
control,0.67,1736
control,0.68,1736
control,0.69,1736
control,0.7,1911
control,0.71,1911
control,0.72,1911
control,0.73,2104
control,0.74,2104
control,0.75,2104
control,0.76,2316
control,0.77,2316
control,0.78,2316
control,0.79,2549
control,0.8,2549
control,0.81,2806
control,0.82,2806
control,0.83,2806
control,0.84,3089
control,0.85,3089
control,0.86,3400
control,0.87,3400
control,0.88,3743
control,0.89,3743
control,0.9,4120
control,0.91,4535
control,0.92,4535
control,0.93,4992
control,0.94,5495
control,0.95,6659
control,0.96,7330
control,0.97,8882
control,0.98,11846
control,0.99,19144
treatment-b,0.01,81
treatment-b,0.02,119
treatment-b,0.03,144
treatment-b,0.04,174
treatment-b,0.05,192
treatment-b,0.06,211
treatment-b,0.07,232
treatment-b,0.08,255
treatment-b,0.09,281
treatment-b,0.1,309
treatment-b,0.11,309
treatment-b,0.12,340
treatment-b,0.13,374
treatment-b,0.14,374
treatment-b,0.15,412
treatment-b,0.16,412
treatment-b,0.17,412
treatment-b,0.18,454
treatment-b,0.19,454
treatment-b,0.2,500
treatment-b,0.21,500
treatment-b,0.22,500
treatment-b,0.23,550
treatment-b,0.24,550
treatment-b,0.25,550
